ID,Title,Location,Summary
4c5244fef978e942,2021년 하반기 각 부문별 신입/경력직,대전 유성구,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 인공지능)>토탈제어시스템|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신...
7c75987c23551795,"인공지능(AI), Python 외 신입/경력 정규직, 계약직",전라남도,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
063c109f9283ef14,2021 디지털 뉴딜·수출 중소기업 X 청년 일자리 엑스포,대한민국,인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>데이터베이스...
dbaa69e2f51f25f9,제4차 직원,전주 덕진구,게임 >빅데이터·AI(인공지능) >데이터분석|인터넷·IT·통신·모바일·게임 >빅데이터·AI(인공지능) > Python|인터넷·IT·통신·모바일·게임 >빅데이터·AI(인공지능) >머신러닝|인터넷·IT·통신·모바일·게임 >빅데이터...
fc703d3a5245510a,2021년 하반기 신입 공개,대한민국,"코딩 가능자 우대) · 파생상품 및 구조화상품의 운용 및 관리 (금융공학 전공자 및 C++, VBA, Python 사용 가능자 우대) • 리서치 · 탑다운 관점의 자산배분 분석, 퀀트 · 산업/기업 분석자료의 생산 (제약..."
1fd963b87d62d30a,한화시스템/방산 2021년 한화시스템 방산부문 신사업분야 경력사원,성남 분당구,시스템개발자|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|전자·기계·기술·화학·연구개발>연구원·연구개발>전기·전자|전자·기계... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
ce942c011266c929,[무료교육/취업지원] 2021년 프로젝트 기반 인공지능 융합인재 양성 교육생,대전 동구,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
683c980c3a5006ef,신입 및 경력사원,대한민국,그래머>Ruby|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
04cc1bb8aeb0b28d,자동차 전장 ADAS 카메라 알고리즘 SW 개발 전문가,서울특별시,"Camera calibration, multi-view geometry - 중급 이상 C/C++/ Python 개발 및 computer vision관련 tool 활용 가능 - Tensorflow/Pytorch/Caffe 등의..."
e29bd57c416ee579,인재 Pool 등록,대한민국,"5년 이상 (IT기획, 프로젝트 PM/PL, 개발경력 등) - 자격 : 컴퓨터 언어 활용능력 보유 (JAVA, PYTHON) : 데이터베이스(RDBMS) 활용능력 보유 - 우대사항 : IT 예산(HW,SW,인건비) 수립 경험..."
f53f70423a1cd729,[무료교육/취업코칭] 2021년 파이썬기반 AI 활용 데이터 분석가 양성과정 교육생,성남 분당구,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
e11fdb620460d7c6,2021년 국내 석/박사 산학장학생,서울,"탐색적 분석, 머신러닝 모델링 등의 다양한 데이터 분석 및 결과를 바탕으로 유의미한 인사이트 발굴 - R, Python, SQL 등 Statistics, Machine Learning, Deep Learning 도구 활용..."
da5085b75920acb3,(주)아이옵스 항공우주분야,대전 유성구,궤도역학[우대사항]ㆍ정보처리기사 등 관련 자격증 소지자 ㆍ인공위성 궤도분석 및 비행역학 유경험자ㆍC/C++/ Python 활용 가능자ㆍ영어 가능자 0 명 근무조건 고용형태 : 정규직(수습기간3개월)급여조건 : 급여 협의근무지역...
fbc88cd2a852e437,DX분야(Data Engineer/Data Scientist) 경력사원 (법인Staff),서울특별시,"3년 이상) - 오픈소스 활용 실시간/배치 서비스 개발 운영 경험 - Python, Java, Scala 등 하나 이상을 이용한 개발 경험 우대사항... 패키지(SQL, SAS, R, Python, Spark) 사용가능 또는..."
1e974ff27c6eb340,Autonomous Driving 분야 엔지니어,서울 강남구,"프로그래밍 기술 (C/C++, Python 등) - 이동 로봇/드론 관련... platform 개발 경험 - 뛰어난 프로그래밍 기술 (C/C++, Python) - 3D geometry, math, physics 관련 경험 및..."
956532a606e3fe47,(주)다른코리아 인공지능(딥러닝) 개발 직원,대전 유성구,"인공지능(딥러닝) 개발자 - 자사 시스템 및 플랫폼 연구 및 개발 - 딥러닝 추천 시스템 개발 - 활용언어: python, tensorflow, keras2. 급여: 2,000,000원(세전 급여) (차년도 업무 성과에 따른..."
71dd0cc7756b6a5a,노무현재단 서울사무처 ( 경력직 ),서울 마포구,프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹디자인>웹UI|인터넷·IT·통신·모바일·게임>웹디자인>Sketch|인터넷...
78e99625e5de3c95,전문연구요원 (병역특례) 수시 (AI / HW 분야),성남 분당구,"모델의 RTL IP 설계 및 IP 검증 가능자 - Language: Python/Perl, C/C++ [우대 조건] - ARM based SoC 설계... Linux, shell, tcl, python, perl 사용 원활..."
d3d33eafc5f2c0ac,데이터인사이트팀 Data scientist 직무 경력직,서울특별시,"설계 / 검증 - 관련 직무 경력 5년 이상 ㆍ역량 요건 - 데이터마이닝 및 분석 기술/SQ,L, R, Python 등 활용 능력 보유 - AI / ML 이해 및 관련 라이브러리 활용, 알고리즘 개발 역량 보유 - Big..."
665d34a7ff110a24,기계학습 전문가 모집,성남 판교역,"기간 : 2년 ~ 10년 필수조건 - 딥러닝 또는 강화학습 관련 전문 지식 및 R&D 경험 필수 - R&D에 python을 능숙하게 활용 할 수 있어야 하며, pytorch, tensorflow 등 딥러닝 라이브러리를 업무에..."
7e1a22f30c051e91,2021년 KTCA 한국기술사업화진흥협회 전문가 양성과정 과정별 무료 교육생,대구 달서구,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
9106987ae98ab9b6,검사 자동화/검사AI 분야 경력사원,경기도 평택,"C++,Labview, R, Python 등 ) - AI 관련학과 전공 및 검사공정 AI 경력 3년이상 보유자 (딥러닝 모델설계/학습/배포, 딥러닝 성능 개선 ) - Python 언어와 딥러닝 프레임워크 (Tensorflow..."
4722506a02749f75,신세계건설] 신세계건설(주) 스마트건설 경력사원 모집,경기도,"포함) - 3차원 데이터 취득 장비(LiDAR/Drone 등) 활용능력 보유 우대 - 컴퓨터 언어( Python, C++등) 및 BIM S/W 활용능력 보유 우대 - BIM 관련 프로젝트 입찰 참여 및 현장기술 지원..."
5ea9ea023c6ccc03,"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",성남 분당구,"케이션 제작 및 유지보수 업무- Python, Golang, QT 중 선택... 2. 시스템프로그래머- Python, Golang, QT 중 선택 가능3. 영상데이터 분석 및 모델링- python기반 영상데이터 분석 및 모델링..."
